"company","product_type","product_name","product_description","insurance_type","discovered_place"
"Generali","Travel","Multi PA Protector","Life is full of uncertainties. No one knows when an accident can happen, and this is why a comprehensive accident insurance plan is essential for you to fall back on.

The ""Multi PA-Protector"" protects you from death or permanent disablement and medical expenses incurred as a result of an accident. A comprehensive personal accident plan that gives you maximum 24 hours worldwide protection with minimum cost, Multi PA-Protector offers you four (4) affordable plans to meet your budget.

In addition, the policy also includes renewal bonus, bereavement allowance, repatriation allowance, recuperative allowance and hospital income in the event of being hospitalized for more than 5 days consecutively. If you are NOT hospitalized but unable to attend work with a valid MC, you are entitled to a weekly allowance. Plus, we would pay your outstanding financial obligations on your housing and motor loan up to six months repayment sum and also the outstanding balance on your credit card(s) at the time of the accident!

When you and your spouse sign up for Multi PA-Protector, you may choose to insure your children for RM 15 only.

‍

‍

‍The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance","Insurer"
"Generali","H&P","OneMedic Elite","One medical plan that helps you make the right decision
Every day you are presented with options and we want to make sure the choices that you make help you become better every day. One of the important choices is buying medical insurance for yourself and your family.

‍

There are many medical insurance products available in the market and we are here to help you make the right choice by offering OneMedic Elite, the one medical plan that provides you and your family peace of mind with comprehensive medical coverage.

‍

OneMedic Elite also comes with value-added features that allow you to enjoy more savings from lower insurance charges with the Deductible option and No-Claim Bonus.","TBD","Insurer"
"Generali","H&P","OneMedic Lite","One medical plan that balances your medical protection needs and affordability
Every day you are presented with options and we want to make sure the choices that you make help you become better every day. One of the important choices is buying medical insurance for yourself and your family.

‍

There are many medical insurance products available in the market and we are here to help you make the right choice by offering OneMedic Lite, the one medical plan that provides you and your family peace of mind and at the same time fits your budget.

‍

OneMedic Lite features 4 key benefits that will fulfil yours and your family’s medical protection needs.","TBD","Insurer"
"Generali","Travel","Oversea Travel Insurance","Travel insurance that gives you a world of protection
Get immediate protection, comprehensive coverage and 24-hour emergency assistance wherever you are in the world.","General Insurance","Insurer"
"Generali","Motor/Home","Private Car Insurance & Available Add Ons","Safeguard your car with Generali’s Private Car Comprehensive insurance. You can also select add-on options and benefits for enhanced protection on the road.

To know more about the benefit of our Generali Roadside Assistance, call 1800 22 2262.","General Insurance","Insurer"
"Generali","Life","Secure Shield","Easy-Apply Protection Plan | Secure Shield
Secure Your Protection for Now and Future

‍

No matter what stage of life you are in, it is always important to safeguard yourself and your loved ones, to stay financially secure should unforeseen circumstances happen to you.

‍

Introducing Secure Shield, a specially designed insurance plan that assures guaranteed protection at a guaranteed premium. You do not have to worry about future inflation that may inflate your premium. We assure you that your premium will remain the same throughout the policy duration!

‍

Aside from death coverage due to all causes, Secure Shield provides double protection in the event of accidental death. Furthermore, it offers special benefits like no other - additional coverage for Death due to Vaccination Side Effects and Death during Hospitalisation in Isolation Ward.

‍

Not only do we focus on protection against major mishaps in life, Secure Shield also protects you against the little hiccups such as hospitalisation due to accident, by providing you with daily allowance to support your living expenses, so you can focus on your recovery.

‍

Sign up for Secure Shield now! Enjoy hassle-free enrolment, without the need of going through medical check-up.","Life Insurance","Insurer"
"Generali","Travel","SmartBusiness Traveller","Protect you and your employees on business travels around the world
SmartBusiness Traveller is a group travel PA designed for Business Owners/SMEs to provide insurance coverage for themselves and their employees while on business trips around the world.","General Insurance","Insurer"
"Generali","H&P","SmartCancer Cash","Cancer Protection with Double Payout for Gender-Specific Cancer
SmartCancer Cash gives you lump sum cash payout upon diagnosis of cancer, and also 30% upfront payment from diagnosis of early stage cancer.","TBD","Insurer"
"Generali","H&P","SmartCare Optimum Plus","Complete Medical Plan For Protection Against Rising Medical Costs
SmartCare Optimum Plus is an all-in-one medical plan that protects you and your family against escalating medical costs.

‍

Choose from 3 affordable plans designed to fit different lifestyle needs and enjoy comprehensive protection so you can focus on healthy recovery.","TBD","Insurer"
"Generali","Travel","SmartCare VIP","Personal Accident Plan With High Cash Payout

With SmartCare VIP, you can create an immediate emergency fund to protect you and your family 24 hours a day, anywhere in the world.

‍

Enjoy VIP protection with a high lump sum cash payout from RM1,000,000 in the event of accidental death or permanent disablement.","General Insurance","Insurer"
"Generali","Travel","SmartPA Enhanced","Protect Against the Unexpected
Plan ahead with SmartPA Enhanced. It secures you and your family with a wide range of coverage and benefits to ensure you have comprehensive protection against the unexpected 24/7 anywhere in the world.","General Insurance","Insurer"
"Generali","Travel","The Gladiator Enhanced","Greater Coverage, Higher Limits and Renewal Bonus – indeed a larger than life shield for you and your family.

Accidents are unpredictable no matter how careful you are. You should enjoy every moment of your life and be assured that you have a comprehensive personal accident policy shielding you. With The Gladiator Enhanced, you are ready to face the adversity accidents throws at you.
‍

‍

The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance","Insurer"
"Generali","Life","Wealth Creator","Gift of Love
Are creating wealth and achieving financial freedom your long-term goals in life? When you are too focused on wealth creation and accumulation, there might be an oversight on wealth protection. Any unforeseen circumstance might jeopardise your efforts overnight, leaving your loved ones in a worrying state.

We acknowledge your need for wealth creation, accumulation and distribution. Let Wealth Creator – our best legacy plan – protect you and your wealth throughout the entire wealth management journey. Leave the hard work to us to manage your wealth protection!

‍","Life Insurance","Insurer"
"Generali","Life","Wealth Protect Assure 2","Protection & Investment in One Plan
Our priorities in life will change according to different life stages and this has an impact on our financial needs. Save and protect your future by ensuring that you meet the financial requirements at each stage of your life, against any unforeseen circumstances and events.","Life Insurance","Insurer"
"Generali","H&P","eCritical Early Care","Online critical illness plan, up to RM250,000 coverage for 50 Early and Advanced critical illness conditions
Critical illnesses can strike anyone unexpectedly. It's essential to be financially prepared for your family.

‍

Generali eCritical Early Care is a comprehensive critical illness protection plan that covers most of the common critical illnesses in Malaysia – lung cancer, stroke, Alzheimer's disease, heart attack, kidney failure, and more. Protect against these illnesses now and in the future.

‍

You will receive a lump sum payment of up to RM250,000 upon diagnosed with any covered critical illness as financial support for your living expenses, as well as better options for treatment and recuperation.

‍

Sign up for eCritical Early Care from as low as RM16/month*. 5% discount for annual payment.‍

*Price based on male, age 18, non-smoker with Sum Insured of RM250,000.

‍

‍

eCombo Complete Protection Campaign

Sign up for Generali's eCombo online insurance package (Medical + Life + Critical Illness) before 31 August 2024 and get up to RM90 Big Pharmacy e-voucher. Plus, a chance to win up to RM1,000 Touch ‘n Go eWallet credit!","TBD","Insurer"
"Generali","Life","eLife Protector+","Online life protection plan, up to RM500,000 coverage to protect your family and home
The future is unpredictable. No one knows what it holds for us. It's important to stay prepared and protected for any unforeseen circumstances, especially if you have children, dependents or own assets.

‍

Generali eLife Protector+ safeguards you and your loved ones from unexpected events and protects their financial future. It provides insurance coverage and financial protection up to RM500,000 in the event of Death, Accidental Death, and Total Permanent Disability (TPD).

‍

Sign up for eLife Protector+ from as low as RM15/month*.

*Price based on female non-smoker, aged 25, with Sum Insured RM150,000.

‍

‍

eCombo Complete Protection Campaign

Sign up for Generali's eCombo online insurance package (Medical + Life + Critical Illness) before 31 August 2024 and get up to RM90 Big Pharmacy e-voucher. Plus, a chance to win up to RM1,000 Touch ‘n Go eWallet credit!","Life Insurance","Insurer"
"Generali","H&P","eMedic Plus","Online medical plan, up to RM150,000 annual medical coverage for your medical needs
Paying medical bills during a medical emergency can be stressful. Healthcare costs are on the rise every year. Take steps today to mitigate the impact of rising costs in the future.

‍

Sign up for Generali eMedic Plus which covers in-patient and surgical benefits, pre-hospitalisation consultation, post-hospitalisation care, unlimited days on room and board, and no lifetime limit up to age 80.

‍

You also get Inflation Defender, which boosts your Annual Limit by 10% every five years, up to a total of 150% of your initial Annual Limit – at no extra cost.

‍

eMedic Plus also comes with Family Plan! Get yourself and your family protected with 5% premium discount, from as low as RM41/month*!

*Price based on female/male, age 18, non-smoker with Medical Annual Limit of RM150,000 (RM1,000 Deductible).

‍

‍

eCombo Complete Protection Campaign

Sign up for Generali's eCombo online insurance package (Medical + Life + Critical Illness) before 31 August 2024 and get up to RM90 Big Pharmacy e-voucher. Plus, a chance to win up to RM1,000 Touch ‘n Go eWallet credit!","TBD","Insurer"
"Generali","Life","eSaver","Online insurance savings plan, up to 8% guaranteed cash payments and insurance protection
Your financial stability can be threatened by an unexpected event that wipes out your savings.

‍

Start planning for your future with Generali eSaver - an online insurance savings plan that provides guaranteed returns and protection. You will need to pay for only 4 years for 5 years' yearly returns and financial protection.

‍

With this short-term commitment saving plan, you will receive yearly guaranteed cash payments up to 8% of annual premium and up to 105% of total premium paid upon your policy maturity. In the event of death, your family will receive up to 108% of total premium paid.

‍

Start saving from as low as RM500/year.","Life Insurance","Insurer"
"Great Eastern","H&P","Classic PA","Protects you against unfortunate and unforeseen events with the Classic PA plan

Key Benefits

Medical expenses
Government hospital allowance
Purchase of prostheses","Life Insurance","Insurer"
"Great Eastern","Medical","Easi HealthCare","Easi HealthCare insurance tailored to your medical needs

Key Benefits

High overall annual and lifetime limits
No co-insurance if you do not stay in Room and Board higher than your eligible benefit
Invitation to annually renew until 85 years old","Life Insurance","Insurer"
"Great Eastern","H&P","Easi Shield","Protection catered to your needs, 365 days, around the clock

Key Benefits

Terrorism Extension for Accidental Death or Total Permanent Disablement
Renewal Bonus up to 80%
Hijacking Inconvenience","Life Insurance","Insurer"
"Great Eastern","Misc.","Easi-Golf","Easi-Golf covers against a wayward golf ball causing damage or injuries

Key Benefits

Public liability
Personal accident
Hole-in-One expenses","Life Insurance","Insurer"
"Great Eastern","Home","Easi-Home","Safeguard your home with Easi-Home, and have a peace of mind.

Key Benefits

Cover against accidental fire, water damage, natural disaster etc.
Theft
Repairs to damaged property","Life Insurance","Insurer"
"Great Eastern","H&P","Easi-Protector","Enjoy innovative and coverage with Easi-Protector, wherever you may be

Key Benefits

Weekly benefits
Double indemnity
Personal liability to third parties","Life Insurance","Insurer"
"Great Eastern","Medical","EasiMed Active","Medical insurance for you and your family’s active lifestyles

Key Benefits

Unlimited Overall Lifetime Limit
Get rewarded by staying healthy with No Claim Renewal Bonus
Offers optional benefits which suits your active lifestyle","Life Insurance","Insurer"
"Great Eastern","Medical","EasiMed Major","A major medical insurance for you and your loved ones

Key Benefits

Renewal up to age 100 years and no Lifetime Limit
Renewal Bonus up to 50%
Loyalty discount at 15% and family discount at 10% on gross premium payable","Life Insurance","Insurer"
"Great Eastern","Misc.","Food Stall Insurance","Food Stall Insurance protects you, your food business and your employees

Key Benefits

Employer's liability
Theft, armed robbery or hold-up
Personal accident cover for employees","Life Insurance","Insurer"
"Great Eastern","H&P","GREAT Critical Care Direct","Facing life’s uncertainties with confidence

Key Benefits

Extensive critical illness coverage
Financial cushion during bereavement
Affordable premiums till age 80","Life Insurance","Insurer"
"Great Eastern","H&P","GREAT Critical Care Relief","Reach for Great protection with the essential critical care plan

Key Benefits

Coverage for 5 prevalent critical illnesses
Coverage for hospital admission events
Return of total premiums paid or more at maturity","Life Insurance","Insurer"
"Great Eastern","Life","GREAT Early VantageCare 2","The early advantage in critical care

Key Benefits

Broad critical illness coverage
Death or TPD Benefit
Unique BuyBack option","Life Insurance","Insurer"
"Great Eastern","Savings/Investment","GREAT Flexi Plus","Grow your savings towards a better future

Key Benefits

Limited premium payment term
Yearly Guaranteed Cash Payment (GCP)
Maturity benefit at the end of your policy term","Life Insurance","Insurer"
"Great Eastern","Savings/Investment","GREAT Flexi Wealth","A solution that takes your savings further

Key Benefits

Short financial commitment, limited premium payment terms
Hassle-free enrolment with no medical underwriting
Yearly Guaranteed Cash Payment (GCP)","Life Insurance","Insurer"
"Great Eastern","Life","GREAT Generation Care","The first-ever 3-generation critical illness plan

Key Benefits

Comprehensive coverage against critical illnesses
Child Protect Benefit for your children
Optional Parent Protect Rider to safeguard your parents’ golden years","Life Insurance","Insurer"
"Great Eastern","H&P","GREAT Health Direct","A medical plan to protect you against life’s uncertainties

Key Benefits

Essential medical benefits
Affordable premiums till age 80
Easy application","Life Insurance","Insurer"
"Great Eastern","Life","GREAT MaxiProtector","Enjoy long-term protection that's easy on premium

Key Benefits

Affordable protection for life
Financial security for your family
Be protected against TPD","Life Insurance","Insurer"
"Great Eastern","H&P","GREAT Medic Shield 2 + GREAT Medic Million Extender 2","Comprehensive medical benefits that you can count on

Key Benefits

High overall annual limit, no overall lifetime limit
Comprehensive medical benefits with minimal deductible per any one disability
Post-hospitalisation support for your recovery","Life Insurance","Insurer"
"Great Eastern","H&P","GREAT Multi Cancer Care","Comprehensive care at every stage of the cancer journey

Key Benefits

Comprehensive coverage against cancer
Additional benefits to aid your recovery
Maturity Benefit","Life Insurance","Insurer"
"Great Eastern","Savings/Investment","GREAT Multi-Gen Wealth 2","Protect your financial legacy with the flexibility to customise your stream of income for generations to come

Key Benefits

Long-term savings that are sustainable across generations
Limited premium commitments of 5, 10, or 20 years
Steady stream of yearly income providing potential upside over the long term","Life Insurance","Insurer"
"Great Eastern","Life","GREAT Term Direct","Affordable term life protection made easy

Key Benefits

Affordable premiums till 80 years
Financial cushion during bereavement
Death Benefit","Life Insurance","Insurer"
"Great Eastern","Life","GREAT Treasure Gift","Reach for Great with protection that cherishes your golden years

Key Benefits

Guaranteed acceptance with no medical underwriting
Guaranteed money back of 108% total premiums paid at maturity
Guaranteed high coverage with additional accidental death benefit of up to 300% basic sum assured","Life Insurance","Insurer"
"Great Eastern","Life","GREAT VantageCare 2","The protection advantage in critical care

Key Benefits

Critical Illness coverage
Death or TPD benefit
Unique BuyBack option","Life Insurance","Insurer"
"Great Eastern","Savings/Investment","GREAT Wealth Enhancer","Investment booster and maturity benefit to aid you in your wealth accumulation dreams

Key Benefits

Short financial commitment with choices of 15 or 20 years of coverage
High payouts from the investment booster feature and maturity benefit
Hassle free enrolment with no medical underwriting","Life Insurance","Insurer"
"Great Eastern","Home","Great Shield Home","Shelters your home and its content from unexpected events.

Key Benefits

Mortgage protection for uninhabitable house
Thirty (30) days’ purchase protection
Machinery breakdown","Life Insurance","Insurer"
"Great Eastern","H&P","Great Shield Special","The essential coverage for people engaged in high risk occupations

Key Benefits

Accidental death
Permanent disablement
Medical expenses reimbursement","Life Insurance","Insurer"
"Great Eastern","Travel","Great Voyager","Travel smart with thorough protection

Key Benefits

With COVID-19 Benefits Extension
Accidental Death and Permanent Disablement
Wide Range of Medical Benefits
More Cover for Travel Inconveniences","Life Insurance","Insurer"
"Great Eastern","H&P","GreatShield Active","The essential coverage for the lifestyle you care about

Key Benefits

Complete Active Lifestyle protection up to age 100
Easy Enrolment from age 30 days up to 70 years old
Double & Triple Indemnity on Public Conveyance or at Public Sports Event","Life Insurance","Insurer"
"Great Eastern","Home","Houseowner / Household Insurance","Protects your house and its content with our Houseowner/Household Insurance Policy.

Key Benefits

Cover against loss from fire, lightning or explosions
Claim if your building is hit by a vehicle
Cover against water damage","Life Insurance","Insurer"
"Great Eastern","H&P","Junior Protector","Junior Protector protects your children from head to toe

Key Benefits

Medical expenses
Academic achievement award
Reimbursement of examination","Life Insurance","Insurer"
"Great Eastern","H&P","Lady Protector","Enjoy special female-related benefits with Lady Protector

Key Benefits

Snatch theft: compensation to RM2,000
Cosmetic surgery reimbursement
Sexual harassment reimbursement to RM5,000","Life Insurance","Insurer"
"Great Eastern","H&P","MOS Shield","MOS Shield safeguards you by providing the protection coverage you need against Dengue Fever, Malaria or Zika Virus

Key Benefits

Cover for death due to mosquito bite
Convenient as an Add-on to your Personal Accident Policy","Life Insurance","Insurer"
"Great Eastern","TBD (Online)","MikroSayang","A comprehensive basic protection plan under Perlindungan Tenang.

Key Benefits

Guaranteed acceptance
Accidental Death Benefit of RM5,000
Hospitalisation Benefit of RM50 a day
Critical Illness Benefit of RM5,000","Family Takaful","Insurer"
"Great Eastern","Motor","Motor Insurance","We cover all classes of vehicles and offers one of the widest range of benefits.

Key Benefits

Third party bodily injury and death
Third party property loss or damage
Loss or damage to your own vehicle","Life Insurance","Insurer"
"Great Eastern","H&P","Platinum PA","Enjoy a superior personal accident plan that has high coverage with Platinum PA

Key Benefits

Minimum sum
Personal liability
Nursing care","Life Insurance","Insurer"
"Great Eastern","H&P","SMART Baby Shield Plus","Reach for Great protection for your little bundle of joy

Key Benefits

Greater assurance during pregnancy
Critical care for your newborn
Extended protection for congenital conditions","Life Insurance","Insurer"
"Great Eastern","H&P","SMART Critical Relief ","Free yourself from financial worry upon hospitalisation

Key Benefits

Coverage on hospital and Intensive Care Unit (ICU) admission up to 210% of sum assured
Up to two claims for category 1 admission event
Coverage for hospital and ICU admission of any unknown diseases that may emerge in the future","Life Insurance","Insurer"
"Great Eastern","H&P","SMART Early Payout CriticalCare","The first plan in Malaysia that pays at the early stages of critical illness

Key Benefits

Early payout, finances saved
Multiple claims across illnesses
Added coverage with 'Buy Back' option","Life Insurance","Insurer"
"Great Eastern","H&P","SMART Multi Critical Care","The life-protecting critical illness solution against 188 conditions

Key Benefits

Critical illness coverage up to 800% the rider sum assured
Double protection against cancer, heart attack and stroke
Additional special benefit of up to 60% the rider sum assured","Life Insurance","Insurer"
"Great Eastern","Savings/Investment","SMARTINVEST Growth","Enhance your financial safety net with investment opportunities

Key Benefits

Enhance your protection
Helps your money go further
Top up anytime to tap opportunities","Life Insurance","Insurer"
"Great Eastern","Savings/Investment","SMARTINVEST Premier","Investments geared towards realising your dreams

Key Benefits

High premium allocation of 95%
Loyalty Incentive that provides additional premium allocation
Hassle-free enrolment with no medical underwriting","Life Insurance","Insurer"
"Great Eastern","H&P","SMARTMedic Shield + SMARTMedic Shield Plus","Extensive medical coverage for your healthcare needs

Key Benefits

Comprehensive medical benefits with minimal deductible per disability
Post-hospitalisation support for your full recovery
High Overall Annual Limit, no Overall Lifetime Limit","Life Insurance","Insurer"
"Great Eastern","Life","SMARTPROTECT Junior","Chart a secure future for your child

Key Benefits

Protection with investment allocation
Additional 1% sum assured each year
Protection against death or TPD","Life Insurance","Insurer"
"Great Eastern","Life","SMARTPROTECT Sure","Wealth protection to safeguard your future

Key Benefits

High protection against life's unexpected events
Extra safety net of 1% additional sum assured each year
Guaranteed insurance charge rates","Life Insurance","Insurer"
"Great Eastern","Life","SMARTPROTECT Wealth Max","Financial assurance with optimal protection

Key Benefits

Various coverage term options with flexible premium payment terms
Multiple booster rewards to celebrate policy milestones
Double maturity booster to enhance your savings","Life Insurance","Insurer"
"Great Eastern","Life","SMARTPROTECT Wealth Plus","Embrace your future confidently with strong wealth protection

Key Benefits

Long-term protection up to 100 years next birthday
Extra safety net of additional 1% sum assured each year
High protection against death or TPD","Life Insurance","Insurer"
"Great Eastern","Life","SMARTPROTECT You","Comprehensive protection that’s always got your back

Key Benefits

Protection starting from just RM100 a month
Two coverage term options to suit your life goals
Additional 1% sum assured each year","Life Insurance","Insurer"
"Great Eastern","Travel","Travel For More","Get wider and deeper travel coverage for you and your family with Travel For More

Key Benefits

With COVID-19 Benefits Extension
Emergency medical evacuation and repatriation
Loss of travel documents and personal money
Home contents benefit","Life Insurance","Insurer"
"Great Eastern","TBD(Health/Medical/CI)","i-Additional Lifetime & Lifetime Critical Illness Term Rider","A plan that protects your critical needs for a lifetime

Key Benefits

61 critical illness coverage from child to adult in one plan
Coverage of up to 5x Basic Sum Covered
2 Options of Claims Payout","Family Takaful","Insurer"
"Great Eastern","TBD (Online)","i-Great Critical Care","Get the required treatment without any financial worries.

Key Benefits

Basic Sum Covered of up to RM500,000
No medical examination
Coverage for 50 Critical Illnesses","Family Takaful","Insurer"
"Great Eastern","Life","i-Great Evo","An evolutionary protection plan for your evolving needs.

Key Benefits

Monthly contribution from RM50 a month
Increasing Room & Board and Annual Limit every 5 years with medical rider
61 major critical illness protection from child to adult in one optional rider","Family Takaful","Insurer"
"Great Eastern","TBD(Health/Medical/CI)","i-Great Harapan CI10","Coverage for your top concerns in life

Key Benefits

Coverage for top 10 critical illnesses
Affordable contribution","Family Takaful","Insurer"
"Great Eastern","Life","i-Great Inspirasi","A Takaful plan that inspires Malaysians to get protected

Key Benefits

Infectious Disease and Critical Illness Coverage
No Medical Underwriting
Coverage of up to 4x Sum Covered","Family Takaful","Insurer"
"Great Eastern","TBD (Online)","i-Great Medi Care","A plan that safeguard you against unforeseen medical emergency.

Key Benefits

Medical coverage up to age 80 years
No medical examination
Zero Co-Takaful","Family Takaful","Insurer"
"Great Eastern","TBD(Health/Medical/CI)","i-Great MediHarapan","A medical protection plan with you and your family in mind

Key Benefits

Unlimited Overall Lifetime Limit
Coverage up to age 100 years
5% family discount","Family Takaful","Insurer"
"Great Eastern","TBD (Online)","i-Great Murni 2.0","Getting coverage is as easy as it gets. Realise your good intentions with this plan.

Key Benefits

Simplified underwriting
Basic Sum Coverage of up to RM500,000
Bereavement allowance","Family Takaful","Insurer"
"Great Eastern","Life","i-Great Nova","i-Great Nova is a growing coverage to ensure a bright future that spans you and beyond.

Key Benefits

Affordable High Coverage Plan from RM 250,000 Sum Covered
Protect Your Legacy with Coverage Term up to Age 80
Optional Automatic Increase of Sum Covered Every 5 Years","Family Takaful","Insurer"
"Great Eastern","Savings/Investment","i-Great Prestij","A Takaful saving plan to protect what really matters to you and at the same time helps you achieve all your life aspirations.

Key Benefits

Annual Investment Booster up to 20% of Contribution
Maturity Booster up to 500% of Annual Contribution
No medical underwriting","Family Takaful","Insurer"
"Great Eastern","TBD(Health/Medical/CI)","i-Great Yaqeen ","Coverage towards financial confidence 

Key Benefits

61 Critical Illness Coverage for Child and Adult
Essential Care Benefit (supplementary hospitalisation care)
Maturity Benefit","Family Takaful","Insurer"
"Great Eastern","TBD(Health/Medical/CI)","i-Lifetime & i-Early Lifetime Critical Illness Benefit Term Rider","A plan that protects your critical needs for a lifetime

Key Benefits

61 critical illness coverage for child and adult in one plan
Multiple claims payout in the event of critical illness
e-Medical Card","Family Takaful","Insurer"
"Great Eastern","TBD(Health/Medical/CI)","i-Medi Rider & i-Medi ExPlus Rider","An innovative medical plan that protects you now and future healthcare needs.


Key Benefits

Increasing hospital Room and Board and Overall Annual Limit every 5 years
Unlimited number of hospitalisation days
e-Medical Card","Family Takaful","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","180 CI Care Rider","Investment-Linked | Available via Life Advisor
A critical illness plan that protects against 180 conditions in multi-stages, as well as Ancillary Benefits for conditions such as Angioplasty, Diabetes and Mental Illness. Multiple payments of up to 850% of your sum assured.
Critical Illness Protection","Life Insurance","Insurer"
"Hong Leong Assurance","H&P","Active Lifestyle Protector","Non-Participating | Available via Online
A 5-year plan that protects against death, daily hospitalisation income, loss of travel documents and emergency medical evacuation and repatriation benefits. Available online.
Accident ProtectionLife ProtectionIncome ReplacementAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","CI Shield 5","Non-Participating | Available via Online
10-year 5 major critical illness protection plan up to RM500,000 with the option to renew without underwriting. Available online.
Critical Illness ProtectionAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","Cancer Shield Care","Non-Participating | Available via Online
A 3-in-1 plan that covers you against death, Total and Permanent Disabilty (TPD) and cancer. Also covers multiple stages of cancer up to 300% sum assured. Available online.
Critical Illness ProtectionMedical ProtectionAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","Congenital Care Rider","Rider | Available via Life Advisor
Protect your unborn child as early as 13 weeks of gestation against 15 congenital conditions, and allowance for neonatal jaundice or in neonatal ICU/HDU.
PregnancyLady Protection","Life Insurance","Insurer"
"Hong Leong Assurance","H&P","Disability Lump Sum Rider","Rider | Available via Life Advisor
A disability plan that pays a lump sum in case of a disability during your prime years or golden years, covers up to age 100.
Old Age Protection","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Asset Elite","Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection for yourself as well as leaving a legacy for your loved ones.
Legacy PlanningCritical Illness ProtectionLife Protection","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Asset Master","Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection and legacy planning up to RM8 mil without going through medical check-up.
Legacy PlanningCritical Illness ProtectionLife Protection","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Beyond Cancer Plan","Investment-Linked | Available via Life Advisor
Specially designed for the warriors who have survived cancer. Get the life and 10 major critical illness protection that you deserve.
Critical Illness ProtectionLife Protection","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA CompleteCover","Investment-Linked | Available via Life Advisor
An investment-linked plan that offers a wide array of riders to tailor to your protection needs at every stage of your life. Options to increase basic sum assured without underwriting at key milestones of your life.
Life ProtectionAccident ProtectionCritical Illness ProtectionPregnancyMedical ProtectionDisability ProtectionIncome Replacement","Life Insurance","Insurer"
"Hong Leong Assurance","H&P","HLA Festive Protect","Non-Participating | Available via Life Advisor
A 20-year non-participating insurance plan that covers coma, accidental death or Total and Permanent Disability (TPD), with 20x coverage during major festive seasons.
Accident ProtectionAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","H&P","HLA FiT 2 Protect","Non-Participating | Available via Life Advisor
A disability protection plan that offers you lump sum payment and income, while also rewarding you for staying active and fit.
Disability ProtectionAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","HLA FiT 3 Medi‑Income","Non-Participating | Available via Life Advisor
A hospital income plan that offers you daily cash up to RM2,000 when you’re hospitalised, while also rewarding you for staying active and fit.
Medical ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","HLA FiT CI","Non-Participating | Available via Life Advisor
An affordable plan against 10 major critical illnesses while also rewarding you for staying active and fit.
Critical Illness ProtectionAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Life Essential","Non-Participating | Available via Life Advisor
Covers the basic needs at an affordable price, suitable for individuals as well as business owners as a starter package.
Life ProtectionAccident ProtectionCritical Illness ProtectionMedical ProtectionDisability ProtectionAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","HLA MediShield III Rider","Non-Participating | Available via Life Advisor
A medical plan that covers hospitalisation expenses with no-claim incentive, and auto-increase on Room & Board limit with a refund feature for unutilised Room & Board benefits.
Medical Protection","Life Insurance","Insurer"
"Hong Leong Assurance","TBD (CI/Medical/H&P)","HLA Premier HB","Non-Participating | Available via Life Advisor
A hospital income plan with added accidental coverages on death, disability lump sum and allowance, medical expenses and compassionate allowance.
Income ReplacementAffordable Starter Plan","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Prime Asset","Investment-Linked | Available via Life Advisor
An easy sign-on investment-linked plan with guaranteed death protection up to RM500,000 without medical check-up and no health questionnaires.
Life ProtectionLegacy Planning","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Prime Protect","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection up to age 80. Enjoy 160% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Prime Protect Gold","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan for those who are above age 40 that offers life protection up to age 80. Enjoy 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection","Life Insurance","Insurer"
"Hong Leong Assurance","Life","HLA Prime Protect Plus","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection and Total and Permanent Disability (TPD) coverage. Enjoy at least 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident ProtectionDisability Protection","Life Insurance","Insurer"
