Comparison between Results_May_2024_Week_4 and Results_May_2024_Week_5,,,,,,
Date Produced:,29-May-24,,,,,
Generali,SAVINGS & LIFE PROTECTION,Secure Shield,"Easy-Apply Protection Plan | Secure Shield
Secure Your Protection for Now and Future

‍

No matter what stage of life you are in, it is always important to safeguard yourself and your loved ones, to stay financially secure should unforeseen circumstances happen to you.

‍

Introducing Secure Shield, a specially designed insurance plan that assures guaranteed protection at a guaranteed premium. You do not have to worry about future inflation that may inflate your premium. We assure you that your premium will remain the same throughout the policy duration!

‍

Aside from death coverage due to all causes, Secure Shield provides double protection in the event of accidental death. Furthermore, it offers special benefits like no other - additional coverage for Death due to Vaccination Side Effects and Death during Hospitalisation in Isolation Ward.

‍

Not only do we focus on protection against major mishaps in life, Secure Shield also protects you against the little hiccups such as hospitalisation due to accident, by providing you with daily allowance to support your living expenses, so you can focus on your recovery.

‍

Sign up for Secure Shield now! Enjoy hassle-free enrolment, without the need of going through medical check-up.",,,
Generali,SAVINGS & LIFE PROTECTION,Wealth Protect Assure 2,"Protection & Investment in One Plan
Our priorities in life will change according to different life stages and this has an impact on our financial needs. Save and protect your future by ensuring that you meet the financial requirements at each stage of your life, against any unforeseen circumstances and events.",,,
Generali,SAVINGS & LIFE PROTECTION,eLife Protector+,"Fuss-free term life insurance you can buy online
Your family is the most important asset you can protect. Nobody can predict what may happen tomorrow. A single unfortunate event can change your family’s life forever. You can’t stop it, but you can take proactive steps to protect their financial future.

eLife Protector+ is a yearly renewable pure protection plan up to age 75.

‍

Celebrating Good Health Campaign: Sign up for eMedic Plus, eLife Protector+ or eCritical Early Care and receive RM50 Touch ‘n Go eWallet credit! Limited time offer. Terms & Conditions apply. Find out more here!
",,,
Generali,SAVINGS & LIFE PROTECTION,eSaver,"Saving can be as easy as a few clicks!
eSaver is a 5-year non-participating endowment plan with 4 years of premium payment term. This plan provides Death Benefit, Guaranteed Cash Endowment and Guaranteed Maturity Benefit.
",,,
Generali,Travel & Personal Accident,Oversea Travel Insurance,"Travel insurance that gives you a world of protection
Get immediate protection, comprehensive coverage and 24-hour emergency assistance wherever you are in the world.",,,
Generali,Travel & Personal Accident,Domestic Travel Insurance,"Travel locally with peace of mind
Protect yourself and your family against accidents and unexpected events while travelling within Malaysia.",,,
Generali,Travel & Personal Accident,SmartBusiness Traveller,"Protect you and your employees on business travels around the world
SmartBusiness Traveller is a group travel PA designed for Business Owners/SMEs to provide insurance coverage for themselves and their employees while on business trips around the world.",,,
Generali,Travel & Personal Accident,SmartCare VIP,"Personal Accident Plan With High Cash Payout

With SmartCare VIP, you can create an immediate emergency fund to protect you and your family 24 hours a day, anywhere in the world.

‍

Enjoy VIP protection with a high lump sum cash payout from RM1,000,000 in the event of accidental death or permanent disablement.",,,
Generali,Travel & Personal Accident,SmartPA Enhanced,"Protect Against the Unexpected
Plan ahead with SmartPA Enhanced. It secures you and your family with a wide range of coverage and benefits to ensure you have comprehensive protection against the unexpected 24/7 anywhere in the world.",,,
Generali,Travel & Personal Accident,The Gladiator Enhanced,"
Greater Coverage, Higher Limits and Renewal Bonus – indeed a larger than life shield for you and your family.

Accidents are unpredictable no matter how careful you are. You should enjoy every moment of your life and be assured that you have a comprehensive personal accident policy shielding you. With The Gladiator Enhanced, you are ready to face the adversity accidents throws at you.
‍

‍

The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)",,,
Generali,Travel & Personal Accident,Multi PA Protector,"
Life is full of uncertainties. No one knows when an accident can happen, and this is why a comprehensive accident insurance plan is essential for you to fall back on.

The \Multi PA-Protector\"" protects you from death or permanent disablement and medical expenses incurred as a result of an accident. A comprehensive personal accident plan that gives you maximum 24 hours worldwide protection with minimum cost", Multi PA-Protector offers you four (4) affordable plans to meet your budget.,,
,,,,,,
In addition, the policy also includes renewal bonus, bereavement allowance, repatriation allowance, recuperative allowance and hospital income in the event of being hospitalized for more than 5 days consecutively. If you are NOT hospitalized but unable to attend work with a valid MC, you are entitled to a weekly allowance. Plus, we would pay your outstanding financial obligations on your housing and motor loan up to six months repayment sum and also the outstanding balance on your credit card(s) at the time of the accident!
,,,,,,
When you and your spouse sign up for Multi PA-Protector, you may choose to insure your children for RM 15 only.,,,,,
,,,,,,
‍,,,,,,
,,,,,,
‍,,,,,,
,,,,,,
"‍The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)""",,,,,,
Generali,Travel & Personal Accident,Multi Lucky,"
Life can be unpredictable. No one knows when an accident can happen. Nasty events can cause serious changes in your life. The lifestyle and comfort you and your spouse are now enjoying may be suddenly disrupted by an accident. Overnight, things could look very different. That is why a comprehensive accident policy is essential for you to fall back on.

BUT now, you can be assured of a reliable help in time of need with Multi Lucky Personal Accident at minimal cost.

This policy's unique features include:

TOTAL PARALYSIS CARE‍In the event of an accidental permanent total paralysis, a lump sum of 200% of your Capital Sum Insured will be made payable based on the plan was selected.
FINANCIAL OBLIGATION BENEFITIn the event of an accidental death or permanent disability, we would settle your outstanding financial obligation on your housing loan and/or motor loan up to six (6) months repayment sum and/or the outstanding balance on your Credit Card(s) at the time of the accident. The amount payable depends on the plan selected.
‍
KIDNAP BENEFITA lump sum of RM 5,000 for necessary expenses incurred by the Insured's family and we also offer a sum of reward, depending on the plan selected, for information leading to the recovery of the Insured. In addition, the Capital Sum Insured will be paid in full if the kidnapped Insured is not recovered after a period of one (1) year from the day of the kidnap.

‍

‍
The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)",,,
Generali,Health insurance,110 CI Assure,"Comprehensive Critical Illness Plan from Early Stages
Critical illnesses can strike at any time and often catch us off guard. With 110 CI Assure, you will have access to the funds you need to seek early treatment for better chance of recovery and to cope with unexpected changes in your lifestyle, both financially and emotionally.
",,,
Generali,Health insurance,360 Cancer Assure,"Comprehensive Cancer Plan That Protects From Prevention, Treatment to Recovery
Cancer treatment and recovery is a continuous journey. It can bring a great deal of financial and emotional distress. The good news is you need not face it alone. By being prepared financially, emotionally and mentally, you can continue to live a quality life even when the unexpected happens.",,,
Generali,Health insurance,CritiCover,"Comprehensive critical illness plan that provides coverage for 194 conditions
Critical illness insurance is one of the insurance products that completes a person’s holistic insurance protection planning. Introducing CritiCover, a comprehensive critical illness plan for you that protects against almost all and any future illnesses¹. With this critical illness plan, your critical illness protection is complete!

‍

¹Only available for Supreme plan.
",,,
Generali,Health insurance,InternationalExclusive,"Enjoy easy access to the best medical treatments overseas
In life, we always want the best for ourselves and our loved ones. Sometimes, getting the best medical care and treatment may require us to seek treatment in overseas facilities.

With our international health insurance - InternationalExclusive plan, you can enjoy high medical coverage and access to quality medical care anywhere in the world. With entry age up to 80, it provides a range of options to suit your diverse needs.",,,
Generali,Health insurance,OneMedic Elite,"One medical plan that helps you make the right decision
Every day you are presented with options and we want to make sure the choices that you make help you become better every day. One of the important choices is buying medical insurance for yourself and your family.

‍

There are many medical insurance products available in the market and we are here to help you make the right choice by offering OneMedic Elite, the one medical plan that provides you and your family peace of mind with comprehensive medical coverage.

‍

OneMedic Elite also comes with value-added features that allow you to enjoy more savings from lower insurance charges with the Deductible option and No-Claim Bonus.",,,
Generali,Health insurance,OneMedic Lite,"One medical plan that balances your medical protection needs and affordability
Every day you are presented with options and we want to make sure the choices that you make help you become better every day. One of the important choices is buying medical insurance for yourself and your family.

‍

There are many medical insurance products available in the market and we are here to help you make the right choice by offering OneMedic Lite, the one medical plan that provides you and your family peace of mind and at the same time fits your budget.

‍

OneMedic Lite features 4 key benefits that will fulfil yours and your family’s medical protection needs.",,,
Generali,Health insurance,SmartCancer Cash,"Cancer Protection with Double Payout for Gender-Specific Cancer
SmartCancer Cash gives you lump sum cash payout upon diagnosis of cancer, and also 30% upfront payment from diagnosis of early stage cancer.
",,,
Generali,Health insurance,eCritical Early Care,"An online plan that covers 50 Early and Advanced Stage critical illness conditions
The importance of health is in the minds of most people and there’s an increased interest in healthy lifestyle within society today. Medical advancement and increase in awareness of illnesses have resulted in most of us being more proactive in taking preventive measures such as early screening for signs of critical illness.

‍

While early diagnosis can increase the chance of recovery, more often than not, we overlook the need for additional finances to support our necessities and our dependents during our recovery stage. To ensure there is adequate protection against critical illness now and in the future, we meticulously designed eCritical Early Care that covers all these needs. The best part is that you can purchase eCritical Early Care online directly with a few clicks.

Celebrating Good Health Campaign: Sign up for eMedic Plus, eLife Protector+ or eCritical Early Care and receive RM50 Touch ‘n Go eWallet credit! Limited time offer. Terms & Conditions apply. Find out more here!",,,
Hong Leong Assurance,Life Protection,HLA CompleteCover,"Investment-Linked | Available via Life Advisor
An investment-linked plan that offers a wide array of riders to tailor to your protection needs at every stage of your life. Options to increase basic sum assured without underwriting at key milestones of your life.
Life ProtectionAccident ProtectionCritical Illness ProtectionPregnancyMedical ProtectionDisability ProtectionIncome Replacement",,,
Hong Leong Assurance,Life Protection,HLA Asset Elite,"Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection for yourself as well as leaving a legacy for your loved ones.
Legacy PlanningCritical Illness ProtectionLife Protection",,,
Hong Leong Assurance,Life Protection,HLA Asset Master,"Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection and legacy planning up to RM8 mil without going through medical check-up.
Legacy PlanningCritical Illness ProtectionLife Protection",,,
Hong Leong Assurance,Savings & Wealth Planning,HLA Wealth Booster Plus,"Investment-Linked | Available via Life Advisor
An investment-linked plan with flexible payment terms starting from RM1,200 per year. Allows you to invest in a wide range of funds with unique benefits & risks, with rewards for larger premiums and longer premium-paying terms.
Savings & Wealth PlanningEducation SavingsRetirement PlanningLife Protection",,,
Hong Leong Assurance,Savings & Wealth Planning,HLA Wealth Invest,"Participating | Available via Life Advisor
A participating plan that allows you to grow your savings as you receive a guaranteed income stream. Limited 6-year premium-paying term to secure a 30-year coverage.
Savings & Wealth PlanningRetirement Planning",,,
Hong Leong Assurance,Savings & Wealth Planning,HLA Wealth Gain Plus,"Investment-Linked | Available via Life Advisor
An investment-linked plan with flexible payment terms starting from RM1,200 per year. Allows you to invest in a wide range of funds with unique benefits & risks, with rewards for larger premiums and longer premium-paying terms.
Education SavingsSavings & Wealth PlanningLife ProtectionRetirement Planning",,,
Hong Leong Assurance,Health & Medical Protection,HLA Premier HB,"Non-Participating | Available via Life Advisor
A hospital income plan with added accidental coverages on death, disability lump sum and allowance, medical expenses and compassionate allowance.
Income ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Health & Medical Protection,HLA FiT CI,"Non-Participating | Available via Life Advisor
An affordable plan against 10 major critical illnesses while also rewarding you for staying active and fit.
Critical Illness ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Health & Medical Protection,CI Shield 5,"Non-Participating | Available via Online
10-year 5 major critical illness protection plan up to RM500,000 with the option to renew without underwriting. Available online.
Critical Illness ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Life Protection,HLA Life Essential,"Non-Participating | Available via Life Advisor
Covers the basic needs at an affordable price, suitable for individuals as well as business owners as a starter package.
Life ProtectionAccident ProtectionCritical Illness ProtectionMedical ProtectionDisability ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Life Protection,HLA Prime Asset,"Investment-Linked | Available via Life Advisor
An easy sign-on investment-linked plan with guaranteed death protection up to RM500,000 without medical check-up and no health questionnaires.
Life ProtectionLegacy Planning",,,
Hong Leong Assurance,Life Protection,HLA Prime Protect,"Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection up to age 80. Enjoy 160% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection",,,
Hong Leong Assurance,Life Protection,HLA Prime Protect Gold,"Non-Participating | Available via Life Advisor
An easy sign-on insurance plan for those who are above age 40 that offers life protection up to age 80. Enjoy 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection",,,
Hong Leong Assurance,Life Protection,HLA Prime Protect Plus,"Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection and Total and Permanent Disability (TPD) coverage. Enjoy at least 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident ProtectionDisability Protection",,,
Hong Leong Assurance,Life Protection,HLA Vital Secure,"Non-Participating | Available via Life Advisor
Specifically designed for those facing difficulty in obtaining coverage due to health issues, gain protection against major critical illnesses and others.
Life ProtectionCritical Illness ProtectionDisability Protection",,,
Hong Leong Assurance,Life Protection,Secure100,"Non-Participating | Available via Life Advisor
Keep yourself secure with guaranteed lifetime financial protection up to age 100 with multiple payment choices that cater to your own preferences.
Life ProtectionLegacy PlanningDisability Protection",,,
Hong Leong Assurance,Life Protection,HLA Stackable,"Non-Participating | Available via Online
A Perlindungan Tenang plan that starts from RM5 per year and allows you to stack up your coverage when you need it. Available online.
Life ProtectionAccident ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Life Protection,HLA Stackable (Package Plans),"Non-Participating | Available via Online
A Perlindungan Tenang plan that starts from RM50 per year and allows you to stack up your coverage when you need it. Available online.
Life ProtectionAccident ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Life Protection,Term Cover 10,"Non-Participating | Available via Online
10-year life protection plan up to RM300,000 with the option to convert or renew without underwriting. Available online.
Life ProtectionDisability ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Life Protection,Total Cover Package,"Non-Participating | Available via Online
10-year insurance combo that covers life, critical illness and hospitalisation income, with the option to renew without underwriting. Available online.
Life ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Life Protection,HLA Beyond Cancer Plan,"Investment-Linked | Available via Life Advisor
Specially designed for the warriors who have survived cancer. Get the life and 10 major critical illness protection that you deserve.
Critical Illness ProtectionLife Protection",,,
Hong Leong Assurance,Health & Medical Protection,HLA FiT 3 Medi‑Income,"Non-Participating | Available via Life Advisor
A hospital income plan that offers you daily cash up to RM2,000 when you’re hospitalised, while also rewarding you for staying active and fit.
Medical ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Health & Medical Protection,HLA MediShield III Rider,"Non-Participating | Available via Life Advisor
A medical plan that covers hospitalisation expenses with no-claim incentive, and auto-increase on Room & Board limit with a refund feature for unutilised Room & Board benefits.
Medical Protection",,,
Hong Leong Assurance,Health & Medical Protection,180 CI Care Rider,"Investment-Linked | Available via Life Advisor
A critical illness plan that protects against 180 conditions in multi-stages, as well as Ancillary Benefits for conditions such as Angioplasty, Diabetes and Mental Illness. Multiple payments of up to 850% of your sum assured.
Critical Illness Protection",,,
Hong Leong Assurance,Health & Medical Protection,Junior CI Care,"Rider | Available via Life Advisor
Protect your child against 16 juvenile critical illnesses and auto-extend to 48 critical illnesses once your child reaches age 16. Also comes with hospitalisation benefits.
Critical Illness ProtectionIncome Replacement",,,
Hong Leong Assurance,Health & Medical Protection,Cancer Shield Care,"Non-Participating | Available via Online
A 3-in-1 plan that covers you against death, Total and Permanent Disabilty (TPD) and cancer. Also covers multiple stages of cancer up to 300% sum assured. Available online.
Critical Illness ProtectionMedical ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Health & Medical Protection,Hospital Shield Plus,"Non-Participating | Available via Online
10-year hospitalisation income plan up to RM300 per day and double up for hospitalisation due to cancer, with the option to renew without underwriting. Available online.
Critical Illness ProtectionMedical ProtectionIncome ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Health & Medical Protection,Hospitalisation Income Shield,"Non Participating | Available via Online
A hospitalisation income plan up to RM300 per day with 5% increase per year, added with monthly income allowance and compassionate benefit. Get back 70% of total premiums paid at maturity. Available online.
Life ProtectionAccident ProtectionMedical ProtectionIncome Replacement",,,
Hong Leong Assurance,Health & Medical Protection,Congenital Care Rider,"Rider | Available via Life Advisor
Protect your unborn child as early as 13 weeks of gestation against 15 congenital conditions, and allowance for neonatal jaundice or in neonatal ICU/HDU.
PregnancyLady Protection",,,
Hong Leong Assurance,Health & Medical Protection,Lady Shield Rider,"Rider | Available via Life Advisor
Specially designed for ladies to protect against cancer, female-specific illnesses and many more. Options to enhance the plan with pregnancy care and maternity benefits.
Lady ProtectionCritical Illness ProtectionIncome Replacement",,,
Hong Leong Assurance,Savings & Wealth Planning,HLA Venture Invest II,"Investment-Linked | Available via Life Advisor
A single premium investment-cum-protection plan that allows you to invest in a wide range of funds with unique benefits & risks.
Savings & Wealth PlanningRetirement Planning",,,
Hong Leong Assurance,Savings & Wealth Planning,HLA Wealth Grow Plus,"Investment-Linked | Available via Life Advisor
An investment-linked plan that gives your child a head start in education savings as early as 13th week of gestation. Access to a comprehensive range of riders to enhance protection.
Savings & Wealth PlanningEducation SavingsLife Protection",,,
Hong Leong Assurance,Accident Protection,HLA Festive Protect,"Non-Participating | Available via Life Advisor
A 20-year non-participating insurance plan that covers coma, accidental death or Total and Permanent Disability (TPD), with 20x coverage during major festive seasons.
Accident ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Accident Protection,Active Lifestyle Protector,"Non-Participating | Available via Online
A 5-year plan that protects against death, daily hospitalisation income, loss of travel documents and emergency medical evacuation and repatriation benefits. Available online.
Accident ProtectionLife ProtectionIncome ReplacementAffordable Starter Plan",,,
Hong Leong Assurance,Disability Income,HLA FiT 2 Protect,"Non-Participating | Available via Life Advisor
A disability protection plan that offers you lump sum payment and income, while also rewarding you for staying active and fit.
Disability ProtectionAffordable Starter Plan",,,
Hong Leong Assurance,Disability Income,Disability Lump Sum Rider,"Rider | Available via Life Advisor
A disability plan that pays a lump sum in case of a disability during your prime years or golden years, covers up to age 100.
Old Age Protection",,,
Hong Leong Assurance,Savings & Wealth Planning,HLA Prime Secure,"Investment-Linked | Available via Life Advisor
An investment-linked packaged plan that provides life protection and builds your financial stability, with an easy and hassle-free enrolment.
Savings & Wealth PlanningEducation SavingsRetirement PlanningLife Protection",,,
Manulife,Critical Illness,"Advance Beyond Critical Cover *
",Comprehensive critical illness plan that provides H.O.P.E. and financial confidence,,,
Manulife,Critical Illness,"Beyond Critical Cover (BCC) Series + BCC Booster *
",Elevate your protection with the perfect combination of coverage that goes above and beyond,,,
Manulife,"Wealth Building, Education, Retirement","Elite Income 88 **
",Make Your Vision a Reality,,,
Manulife,Elite Series,"Elite Life Guard 2 *
",Protection at every stage of your life.,,,
Manulife,"Wealth Building, Education, Retirement","Elite Max 88 **
",More Than Just a Savings Plan,,,
Manulife,Wealth Building,"Elite Smart Invest *
",Make your financial goals come true with the right plan,,,
Manulife,Legacy,"EliteLife Signature Legacy *
",Build A Lifelong Legacy For Generations To Come,,,
Manulife,"Wealth Building, Education, Retirement","EliteLife Signature Saver **
",Managing Your Wealth Today For A More Secure Future,,,
Manulife,Critical Illness,"ManuEZ-CI **
",A plan that provides you coverage for 5 common critical illnesses.,,,
Manulife,Medical & Hospitalisation,"ManuEZ-Med **
",Get yourself a medical card from as low as RM2 a day with no medical checkup required!,,,
Manulife,Investment-Linked Plan,"ManuLink Essential/ManuLink Essential Plus *
",Protection in every step of life’s journey,,,
Manulife,Investment-Linked Plan,"ManuLink Premier&nbsp;*
",Enjoy dual benefits of wealth and protection,,,
Manulife,Investment-Linked Plan,"ManuLink Wealth&nbsp;*
",Keeping you on course for your future,,,
Manulife,"Life Insurance for Protection, Term Life","ManuProtect **
",An affordable life insurance plan to protect your family’s future.,,,
Manulife,"Savings, Retirement","ManuSecure Series **
",Build your wealth for a financially secure future.,,,
Manulife,"Life Insurance for Protection, Term Life","ManuTerm **
",Life insurance coverage for a stipulated number of years at the lowest outlay.,,,
Manulife,"Life Insurance for Protection, Whole life","ManuWhole Life **
",Provides life-time insurance protection at affordable premiums.,,,
Manulife,Investment-Linked Plan,"Manulife Asset Shield<strong>&nbsp;*</strong>
",Ensuring your assets are taken care of during life’s uncertainties,,,
Manulife,Critical Illness,"Manulife Easy 5 **
",A simple critical illness plan to get you started,,,
Manulife,Medical & Hospitalisation,"Manulife Health Saver Benefit + MHSB Booster *
",A medical plan that provides you with enhanced coverage on top of 30% discount from the very start,,,
Manulife,Medical & Hospitalisation,"Manulife MediShield *
",Getting my first medical protection is vital,,,
Manulife,Critical Illness,"Manulife Precious Gift *
",Cherish your precious moment with an early protection plan,,,
Manulife,"Savings, Retirement","Manulife Universal Saver **
",Celebrate life milestones with confidence,,,
Manulife,Investment-Linked Plan,"Manulife Value Enhancer *
",A unique plan that gives you the opportunity to enhance your life protection at all times,,,
Manulife,Heirloom,Signature Heirloom (VII),Securing your legacy for generations to come,,,
MCIS,Life Protection,"EzyProtect
","Who can apply for EzyProtect?
Easy enrolment & no medical underwriting
Affordable premiums
Death benefit coverage
Additional coverage for accidental death
Funeral Expenses Benefit
What is EzyProtect?",,,
MCIS,Life Protection,"SuperSeries
","Key Features
Protection against Death, Total and Permanent Disability (TPD) & Critical Illnesses
Up tp 3x coverage for Accidental Death
Guaranteed Cash Payments up to 4.75% of Basic Sum AssuredCoverage increases by 10% of the basic Sum Assured every 5 years
Maturity Benefit of 100% of the In-Force Sum Assured
2 different plans with optional Survival Benefit
What is SuperSeries?
What critical illnesses are covered under SuperSeries?
What are my options with SuperSeries?
1. Super
2. SuperTreasure
How much protection will me and my loved ones get?
Increasing Sum Assured To Cope With Increasing Cost Of Living
Critical Illness Benefit
Maturity Benefit
Total and Permanent Disability (TPD) Benefit
Death Benefit
Accidental Death Benefit",,,
MCIS,Health and Medical Protection,"LadyCare
","Because women deserve better
Female Illness Benefit including female cancer, carcinoma in-situ, Systemic Lupus Erythematosus (SLE) with Lupus Nephritis, facial reconstructive surgery due to accident, skin grafting due to skin cancer or accidental burning, and reconstructive surgery for breast(s) due to accident or breast(s) cancer
Golden Year Benefit upon age 50 including hip or femur fractures due to osteoporosis, and joint replacement surgery for arthritis
Periodic Health Assessment Benefit every 3 years
Coverage for pregnancy complications including congenital anomalies and neonatal death
Death due to child birth
For more info please call:
+603-7652 3388",,,
MCIS,Health and Medical Protection,"MaxHealth Plan
","How Comprehensive is the MaxHealth Plan?
No Overall Lifetime Limit
High Annual Limit
Outpatient Dengue Fever Treatment
Alternative Medicine
Extensive Network of Panel Hospitals
Flexible & Tailored To Your Needs
Hassle-free Hospital Admissions
Get Rewarded With Room & Board Benefit Increase
Lifelong Coverage Up To Age 100
Covered for Life
What are the benefits of this medical insurance?
Flexible & Tailored To Your Needs
Get Rewarded With Room & Board Benefit Increase
Hassle-free Hospital Admissions
Lifelong Coverage Up To Age 100
No Overall Lifetime Limit
High Annual Limit
Outpatient Dengue Fever Treatment
Alternative Medicine
Extensive Network of Panel Hospitals",,,
MCIS,Health and Medical Protection,"MYEarly CriticalAid
","Protect yourself at different stages of illnesses
Comprehensive coverage for critical illnesses at different stages
Covers a total of 108 critical illnesses
Additional benefit for angioplasty and other invasive treatments for coronary artery disease and diabetic complications
Optional cancer recovery benefit
No waiting period between claims
Pays benefit for multiple critical illness categories
Staged Critical Illness Benefit*
Multiple Claims
Special benefits**
optional benefit**
For more info please call:
+603-7652 3388",,,
MCIS,Savings,"EduSecure
","Secure your child’s educational future today.
WHAT DOES EDUSECURE OFFER?
Coverage for Death & Total and Permanent Disability (TPD)
EduRewards
EduRewards Plus
Potential Returns from Investment-linked Funds
Coverage for Payer
Conversion Privilege at Maturity
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
For more info please call:
+603-7652 3388",,,
MCIS,Savings,"Growth Saver
","Key Features
Regular premium endowment plan with options to mature at the end of 15, 20 or 25 years
Additional 100% of your Basic Sum Assured payable if death occurs through accident during premium paying term, prior to age 65
Guaranteed Cash Payments up to 4.75% of Basic Sum Assured
Protection and annual Cash Dividends until policy matures
Guaranteed 120% of your Basic Sum Assured is payable upon maturity
What is Growth Saver?
What are my financial benefits?
Non-Guaranteed Cash Dividends
Non-Guaranteed Maturity Dividend
Guaranteed Cash Payments
What benefits does Growth Saver offer?
Total and Permanent Disability Benefit 1
Death Benefit1&3
Accidental Death Benefit1
Maturity Benefit1",,,
MCIS,Savings,"MaxSaver
","One plan for protection and savings
Key Benefits
Protection against Death or Total and Permanent Disability (TPD)
Guaranteed Yearly Cash Payments (GCP)
Potential Gains from Investment Funds
Special Features
High investment allocation - 80% of premiums invested fully from year 7 onwards
Total Guaranteed Cash Payments - up to 85.5% of Sum Assured
Single Investment Top-Ups (STUP) can be done anytime - 95% allocation rate
Full or partial withdrawals from investment account allowed
Premium payment flexibility for MaxSaver Booster
8 riders attachable – including MaxHealth which covers medical and surgical expenses
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388",,,
MCIS,Savings,"Wealth Multiplier
","Why Do You Need Wealth Multiplier?
What Do You Get from Wealth Multiplier?
Guaranteed survival benefit options of once every year OR once every 3 years
Multiple choice of policy terms
100% of the Basic Sum Assured upon maturity... and more
Savings for Your Future
What Are the Benefits of Wealth Multiplier?
Guaranteed Survival Benefit
Maturity Benefit
Death Benefit
Total and Permanent Disability Benefit",,,
MCIS,Savings,"EzySaver
","
 Types Of Funds Available
What benefits does EzySaver offer?
Death Benefit
Policy Year	
Death Benefit	
Accidental Death Benefit
Maturity Benefit
No Medical Underwriting
Guaranteed Cash Payments
End of Policy Year	
Guaranteed Cash Payments	
Flexible Premium Paying Term
Potential Gains from Investment-Linked Funds",,,
MCIS,Investment-Linked,"M-Fortune Link
","The M-Fortune Link Benefits
Death Benefit
Maturity Benefit
Compassionate Benefit
Three (3) Years Guaranteed Coverage
Total and Permanent Disability (TPD) Benefit
Auto-Extended Policy Term
The M-MedPro Benefits
Second Medical Opinion
Post-hospitalisation Treatment
Unlimited Overall Lifetime Limit
Outpatient Cancer Treatment & Kidney Dialysis Treatment
The M-MedEssential Benefits
Daily Cash Allowance at Government Hospitals
Unlimited Overall Lifetime Limit
Outpatient Cancer Treatment & Kidney Dialysis Treatment
Home Nursing Care

 Types Of Funds Available
",,,
MCIS,Investment-Linked,"PeopleLink
","Ensuring a better future for the people you care about the most.
Protection against Death or Total and Permanent Disability
Additional payout for Accidental Death
Compassionate Benefit of RM3000
5 years guaranteed coverage
Maturity Benefit
Flexible premium paying terms of either 5, 10 or 20 years or to match the full coverage term
Flexible policy term options of 10 or 20 years, or ending at age 60, 70, 80 or 90 years old
Potential gains from investment-linked funds
Flexibility to switch between 8 investment funds
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388",,,
